statement,word_count,lexical_density,lexical_diversity,reading_ease,grade_level,gunning_fog,difficulty
I am a student,4
Elise is my friend,4
Peter is studying,3
He likes to play soccer,6
They have a big house,5
Quantum physics is a complex subject,6
The mathematical proof is challenging,7
The novel contains intricate symbolism,



hello,1,100.0,100.0,36.62000000000003,8.400000000000002,0.4,easy
easy,1,100.0,100.0,36.62000000000003,8.400000000000002,0.4,easy
The sun is shining,4,50.0,100.0,97.025,0.7199999999999989,1.6,easy
Maria is studying,3,66.66666666666666,100.0,62.79000000000002,5.246666666666666,1.2000000000000002,easy
Time is precious,3,66.66666666666666,100.0,90.99000000000004,1.3133333333333361,1.2000000000000002,easy
The cat is sleeping,4,50.0,100.0,97.025,0.7199999999999989,1.6,easy
Donna is on a boat,5,40.0,100.0,100.24000000000002,0.5199999999999996,2.0,easy
The car is parked outside,5,60.0,100.0,83.32000000000004,2.879999999999999,2.0,easy
I like tomato,3,66.66666666666666,100.0,62.79000000000002,5.246666666666666,14.533333333333331,easy
Spain,1,100.0,100.0,121.22000000000003,-3.3999999999999986,0.4,easy
Derek,1,100.0,100.0,36.62000000000003,8.400000000000002,0.4,easy
Mark,1,100.0,100.0,121.22000000000003,-3.3999999999999986,0.4,easy
boat,1,100.0,100.0,121.22000000000003,-3.3999999999999986,0.4,easy
holiday,1,100.0,100.0,-47.97999999999996,20.200000000000006,40.400000000000006,easy
July 1993,2,100.0,100.0,77.90500000000002,2.890000000000004,0.8,easy
20:00,1,100.0,100.0,120.20500000000001,-3.01,0.8,easy
June 2020,2,100.0,100.0,120.20500000000001,-3.01,0.8,easy
Dark black,2,100.0,100.0,120.20500000000001,-3.01,0.8,easy
Dogs bark,2,100.0,100.0,120.20500000000001,-3.01,0.8,easy
I like ice cream,4,75.0,100.0,118.17500000000001,-2.2299999999999986,1.6,easy
I have red ball,4,50.0,100.0,118.17500000000001,-2.2299999999999986,1.6,easy
I can run fast,4,50.0,100.0,118.17500000000001,-2.2299999999999986,1.6,easy
The cat is black,4,50.0,100.0,118.17500000000001,-2.2299999999999986,1.6,easy
My name is Marko,4,50.0,100.0,97.025,0.7199999999999989,1.6,easy
My name is Peter Klepec,5,60.0,100.0,83.32000000000004,2.879999999999999,2.0,easy
My name is Klepec Peter Maria Klepec,7,71.42857142857143,85.71428571428571,66.7871428571429,5.682857142857145,2.8000000000000003,easy
My name is black red blue black red blue black red blue black,13,84.61538461538461,46.15384615384615,109.04000000000002,1.2800000000000011,5.2,easy
I live in Slovenia,4,50.0,100.0,75.87500000000001,3.6700000000000017,11.600000000000001,easy
I live in Ljubljana,4,50.0,100.0,75.87500000000001,3.6700000000000017,11.600000000000001,easy
